Crop,Disease,Symptoms,Cause,Season,Region,Organic_Remedy,Chemical_Remedy,Prevention
Rice,Blast (Pyricularia oryzae),"Diamond-shaped spots with gray-white centers and dark brown margins on leaves; neck rot causing panicle to break and hang down; nodes appear black and rotted",Fungal,Kharif,"Tamil Nadu, Andhra Pradesh, West Bengal, Punjab, Himachal Pradesh","Seed treatment with Trichoderma viride (10g/kg seed); Spray with Pseudomonas fluorescens (0.2%); Apply neem oil (3%) with garlic extract","Tricyclazole 75WP @ 0.6g/L; Carbendazim 50WP @ 1g/L; Isoprothiolane 40EC @ 1.5ml/L","Use resistant varieties like CO-51, Rasi; Avoid excess nitrogen; Maintain proper spacing; Remove crop residues"
Rice,Bacterial Leaf Blight,"Water-soaked lesions starting from leaf tips, turning yellow-orange; leaves dry up giving burnt appearance; milky bacterial ooze from cut ends",Bacterial (Xanthomonas oryzae),Kharif,"Punjab, Haryana, Uttar Pradesh, Andhra Pradesh, Tamil Nadu","Spray cow urine (10%) + neem oil solution; Apply Pseudomonas fluorescens @ 20g/L; Use biocontrol agent Bacillus subtilis","Streptocycline @ 0.1g/L + Copper oxychloride @ 2.5g/L; Plantomycin @ 1g/L","Balanced fertilization; Drain fields during disease occurrence; Use certified seeds; Avoid field flooding"
Rice,Sheath Blight,"Oval or elliptical greenish-gray lesions on leaf sheath near water line; lesions enlarge with white center and brown margins; snake-skin pattern on sheath",Fungal (Rhizoctonia solani),Kharif,"Andhra Pradesh, Tamil Nadu, Karnataka, West Bengal, Odisha","Foliar spray of Trichoderma harzianum @ 4g/L; Apply vermicompost enriched with Trichoderma; Neem cake application @ 250kg/ha","Validamycin 3L @ 2.5ml/L; Hexaconazole 5EC @ 2ml/L; Propiconazole 25EC @ 1ml/L","Proper spacing (20x15cm); Remove infected plant debris; Avoid excess nitrogen; Summer plowing"
Rice,Brown Spot,"Small circular to oval brown spots with gray center on leaves; spots coalesce to form large patches; grain discoloration with black spots",Fungal (Bipolaris oryzae),Kharif,"West Bengal, Bihar, Odisha, Assam, Chhattisgarh","Seed treatment with hot water (53°C for 10 min); Spray Trichoderma viride @ 5g/L; Apply FYM enriched with beneficial microbes","Mancozeb 75WP @ 2g/L; Edifenphos 50EC @ 1ml/L; Iprobenfos 48EC @ 2ml/L","Use quality seeds; Apply potash and micronutrients; Maintain soil health; Avoid water stress"
Rice,Tungro Virus,"Yellow-orange leaf discoloration; stunted growth; reduced tillering; delayed flowering; sterile panicles",Viral (transmitted by green leafhopper),Kharif,"West Bengal, Andhra Pradesh, Tamil Nadu, Karnataka, Kerala","Neem oil @ 3% to control vector; Light traps for leafhopper control; Reflective mulches to repel vectors","Imidacloprid 17.8SL @ 0.3ml/L; Thiamethoxam 25WG @ 0.2g/L for vector control","Use resistant varieties; Control leafhopper vectors; Synchronous planting; Remove infected plants early"
Rice,False Smut,"Individual rice grains transformed into greenish spore balls; orange to green-black velvety spores visible; reduced grain filling",Fungal (Ustilaginoidea virens),Kharif,"Punjab, Haryana, Uttar Pradesh, Tamil Nadu, Andhra Pradesh","Spray copper-based fungicides allowed in organic farming; Apply Trichoderma @ 2.5kg/ha; Neem seed kernel extract @ 5%","Propiconazole 25EC @ 1ml/L at boot leaf stage; Copper hydroxide 77WP @ 3g/L","Avoid excess nitrogen at flowering; Use moderate seed rate; Maintain field sanitation"
Wheat,Rust (Yellow/Stripe Rust),"Yellow to orange pustules in stripes along leaf veins; leaves turn yellow and dry; severe infection causes shriveled grains",Fungal (Puccinia striiformis),Rabi,"Punjab, Haryana, Himachal Pradesh, Uttarakhand, Northern Rajasthan","Spray sulfur dust @ 20-25kg/ha; Foliar spray of garlic-ginger extract; Apply compost tea fortified with Trichoderma","Propiconazole 25EC @ 0.1%; Tebuconazole 250EC @ 1ml/L; Mancozeb 75WP @ 2.5g/L","Grow resistant varieties like HD-3086, DBW-88; Timely sowing; Destroy volunteer plants"
Wheat,Powdery Mildew,"White powdery growth on leaves, stem and spikes; leaves yellow and die prematurely; reduced grain size",Fungal (Blumeria graminis),Rabi,"Northern plains - Punjab, Haryana, Western UP, Northern Rajasthan","Spray milk solution (1:9 ratio); Sulfur dust @ 25kg/ha; Neem oil @ 1% + soap solution","Triadimefon 25WP @ 1g/L; Propiconazole 25EC @ 0.1%; Sulfur 80WP @ 3g/L","Avoid excess nitrogen; Maintain proper spacing; Use resistant varieties; Remove infected debris"
Wheat,Loose Smut,"Entire spike except rachis converted to black spore mass; affected ears emerge earlier; complete yield loss in infected tillers",Fungal (Ustilago segetum),Rabi,"All wheat growing regions of India","Solar heat treatment of seeds; Hot water treatment at 52°C for 10 minutes; Beejamrit treatment","Seed treatment with Carboxin 75WP @ 2.5g/kg seed; Tebuconazole 2DS @ 1.5-2g/kg seed","Use certified seeds; Rogue out infected plants; Proper seed treatment mandatory"
Wheat,Flag Smut,"Long black stripes on leaves and leaf sheath; twisted and curved leaves; stunted plants; sterile spikes",Fungal (Urocystis agropyri),Rabi,"Hills of Himachal Pradesh, Uttarakhand, J&K","Deep summer plowing; Solarization; Biocontrol agents in soil","Seed treatment with Carbendazim @ 2g/kg seed; Carboxin @ 2.5g/kg seed","Deep sowing (5-7cm); Late sowing when soil temperature drops; Long crop rotation"
